Updating platform-runtime-js.js: 43 ms, 2017 Mb
Compiling platform-runtime-js.js: 5576 ms, 1852 Mb
Updating platform-web.js: 82 ms, 1855 Mb
Compiling platform-web.js: 15583 ms, 1919 Mb
Updating font-icons-runtime-js.js: 1 ms, 1922 Mb
Compiling font-icons-runtime-js.js: 174 ms, 2029 Mb
Updating platform-api-js.js: 6 ms, 2029 Mb
Compiling platform-api-js.js: 412 ms, 1611 Mb
Updating platform-client-js.js: 8 ms, 1612 Mb
Compiling platform-client-js.js: 1465 ms, 1695 Mb
Updating common-js.js: 9 ms, 1697 Mb
Compiling common-js.js: 494 ms, 1912 Mb
Updating client-api-js.js: 11 ms, 1912 Mb
Compiling client-api-js.js: 4015 ms, 1666 Mb
Updating client-js.js: 14 ms, 1668 Mb
Compiling client-js.js: 5066 ms, 1988 Mb
Updating app-state-js.js: 12 ms, 1990 Mb
Compiling app-state-js.js: 2324 ms, 1723 Mb
Updating app-web.js: 84 ms, 1727 Mb
Compiling app-web.js: 48137 ms, 1628 Mb
Updating vacations-api-js.js: 1 ms, 1630 Mb
Compiling vacations-api-js.js: 44 ms, 1638 Mb
Updating vacations-js.js: 4 ms, 1638 Mb
Compiling vacations-js.js: 1307 ms, 1727 Mb
Updating responsibilities-api-js.js: 1 ms, 1729 Mb
Compiling responsibilities-api-js.js: 46 ms, 1737 Mb
Updating responsibilities-js.js: 3 ms, 1737 Mb
Compiling responsibilities-js.js: 1682 ms, 1771 Mb
Updating internal-tools-api-js.js: 1 ms, 1772 Mb
Compiling internal-tools-api-js.js: 39 ms, 1780 Mb
Updating internal-tools-js.js: 8 ms, 1780 Mb
Compiling internal-tools-js.js: 1893 ms, 1879 Mb
Updating google-integration-api-js.js: 1 ms, 1881 Mb
Compiling google-integration-api-js.js: 64 ms, 1897 Mb
Updating google-integration-js.js: 3 ms, 1897 Mb
Compiling google-integration-js.js: 1466 ms, 1854 Mb
Updating editors-api-js.js: 1 ms, 1856 Mb
Compiling editors-api-js.js: 32 ms, 1864 Mb
Updating editors-js.js: 8 ms, 1864 Mb
Compiling editors-js.js: 1056 ms, 1674 Mb
Updating bonus-api-js.js: 0 ms, 1675 Mb
Compiling bonus-api-js.js: 2323 ms, 1694 Mb
Updating bonus-js.js: 11 ms, 1696 Mb
Compiling bonus-js.js: 4070 ms, 1998 Mb
Updating all-js.js: 1 ms, 2000 Mb
Compiling all-js.js: 42 ms, 2017 Mb
Compiling all...: 97659 ms, 2017 Mb
------------ 5 ------------
Updating platform-runtime-js.js: 39 ms, 2017 Mb
Compiling platform-runtime-js.js: 8714 ms, 1860 Mb
Updating platform-web.js: 73 ms, 1863 Mb
Compiling platform-web.js: 14834 ms, 1865 Mb
Updating font-icons-runtime-js.js: 1 ms, 1867 Mb
Compiling font-icons-runtime-js.js: 189 ms, 1975 Mb
Updating platform-api-js.js: 5 ms, 1975 Mb
Compiling platform-api-js.js: 432 ms, 1561 Mb
Updating platform-client-js.js: 8 ms, 1562 Mb
Compiling platform-client-js.js: 1500 ms, 1629 Mb
Updating common-js.js: 9 ms, 1631 Mb
Compiling common-js.js: 514 ms, 1852 Mb
Updating client-api-js.js: 13 ms, 1852 Mb
Compiling client-api-js.js: 2157 ms, 1602 Mb
Updating client-js.js: 14 ms, 1604 Mb
Compiling client-js.js: 4743 ms, 1922 Mb
Updating app-state-js.js: 11 ms, 1924 Mb
Compiling app-state-js.js: 2263 ms, 1633 Mb
Updating app-web.js: 87 ms, 1637 Mb
Compiling app-web.js: 44848 ms, 2283 Mb
Updating vacations-api-js.js: 1 ms, 2285 Mb
Compiling vacations-api-js.js: 45 ms, 2302 Mb
Updating vacations-js.js: 3 ms, 2302 Mb
Compiling vacations-js.js: 1262 ms, 2270 Mb
Updating responsibilities-api-js.js: 1 ms, 2272 Mb
Compiling responsibilities-api-js.js: 45 ms, 2281 Mb
Updating responsibilities-js.js: 4 ms, 2281 Mb
Compiling responsibilities-js.js: 2645 ms, 1393 Mb
Updating internal-tools-api-js.js: 1 ms, 1395 Mb
Compiling internal-tools-api-js.js: 40 ms, 1411 Mb
Updating internal-tools-js.js: 7 ms, 1411 Mb
Compiling internal-tools-js.js: 1857 ms, 1638 Mb
Updating google-integration-api-js.js: 1 ms, 1640 Mb
Compiling google-integration-api-js.js: 61 ms, 1658 Mb
Updating google-integration-js.js: 4 ms, 1658 Mb
Compiling google-integration-js.js: 1474 ms, 1548 Mb
Updating editors-api-js.js: 1 ms, 1549 Mb
Compiling editors-api-js.js: 33 ms, 1559 Mb
Updating editors-js.js: 7 ms, 1559 Mb
Compiling editors-js.js: 1075 ms, 1777 Mb
Updating bonus-api-js.js: 1 ms, 1779 Mb
Compiling bonus-api-js.js: 1417 ms, 1799 Mb
Updating bonus-js.js: 9 ms, 1801 Mb
Compiling bonus-js.js: 4069 ms, 2004 Mb
Updating all-js.js: 1 ms, 2006 Mb
Compiling all-js.js: 40 ms, 2016 Mb
Compiling all...: 94592 ms, 2016 Mb
------------ 6 ------------
Updating platform-runtime-js.js: 38 ms, 2016 Mb
Compiling platform-runtime-js.js: 12549 ms, 1703 Mb
Updating platform-web.js: 55 ms, 1707 Mb
Compiling platform-web.js: 16719 ms, 1794 Mb
Updating font-icons-runtime-js.js: 12 ms, 1797 Mb
Compiling font-icons-runtime-js.js: 195 ms, 1898 Mb
